City,Menu_Link,Name,Number_of_Reviews,Phone,Price_Range,Rating,State,Street_Address,Zip_Code
San Francisco,https://alcarajosf.files.wordpress.com/2021/06/al-carajo-menu.jpeg,Al Carajo,166,(415) 400-4146,"$14.00,$12.00,$24.00,$12.00,$12.00,$9.00,$15.00,$7.00,$15.00,$13.00,$13.00",4.8,CA,3224 1/2 22nd St ,94110
San Francisco,,Dumpling Kitchen,122,(415) 874-9882,,4.3,CA,544 Castro St ,94114
San Francisco,http://radhaussf.com/menu,Radhaus,636,(415) 445-4556,,4.2,CA,2 Marina Blvd Bldg A,94123
San Francisco,,Om Sabor,107,(831) 291-3773,"$8.00,$14.50,$10.00,$9.50,$5.50,$9.50,$4.00,$14.00,$27.00,$15.50,$9.00,$15.50,$24.00",4.6,CA,370 Grove St Phonobar,94102
San Francisco,https://osteriabella.com/home/,Bella Trattoria,1912,(415) 221-0305,,4.3,CA,3854 Geary Blvd ,94118
San Francisco,,MaMa Ji's,895,(415) 626-4416,"$4.75,$9.95,$5.95",3.8,CA,4416 18th St ,94114
San Francisco,,Gyu-Kaku Japanese BBQ,289,(415) 757-0905,"$9.95,$8.95,$6.45,$12.00,$13.00,$12.00,$10.50,$7.45,$7.95",3.8,CA,855 Howard St ,94103
San Francisco,,Mijoté,142,"2400 Harrison St San Francisco, CA 94110",,4.5,CA,2400 Harrison St ,94110
San Francisco,https://static1.squarespace.com/static/5fd94b6013b5fd570b763208/t/622848942c834e29a37395d7/1646807189323/LOJ_TakeOutMenu_3.1.22_Website.pdf,Little Original Joe's,349,(415) 759-1155,"$8.00,$3.50,$15.50,$4.50,$14.00,$14.50,$26.50",4.3,CA,393 W Portal Ave ,94127
San Francisco,https://www.fwpizzeria.com/menu,Flour + Water Pizzeria,155,(415) 529-1617,,4.0,CA,532 Columbus Ave ,94133
San Francisco,https://www.fireflysf.com/menu,Firefly Restaurant,1558,(415) 821-7652,,4.2,CA,4288 24th St ,94114
,,,0,,,,, ,
San Francisco,,Bocado,162,(415) 654-5931,"$35.00,$24.00,$40.00,$33.00,$13.00,$25.00,$19.00,$75.00,$19.00",4.4,CA,701 Folsom St ,94107
San Francisco,https://www.caminoaltosf.com/menu,Camino Alto,196,(415) 441-2111,,4.6,CA,1715 Union St ,94123
San Francisco,,Nepa  Indian Cuisine,57,(415) 829-3180,"$14.95,$14.95,$3.25,$12.95,$6.50,$2.50,$14.95,$14.95,$5.00,$16.95,$9.95,$15.95,$9.95,$6.50,$2.95,$4.95,$12.95",4.9,CA,507 Divisadero St ,94117
San Francisco,,Collina,45,(415) 775-1542,,4.7,CA,1550 Hyde St ,94109
San Francisco,,Zona Rosa Mexican Grill,33,,,4.8,CA,2337 Market St ,94114
San Francisco,https://c6348bb2-90d8-424c-93f2-c3c2ec0460b5.filesusr.com/ugd/41dd26_674000bbbeba4e19ac34970be08f4a8b.pdf,California Fish Market Restaurant,659,(415) 757-0918,"$7.00,$13.00,$32.00,$8.00,$39.00,$29.00,$26.00,$19.00,$9.00,$36.00,$29.00,$26.00,$24.00,$23.00,$39.00,$26.96,$28.00,$29.50,$19.00,$26.00",4.4,CA,550 Green St ,94133
San Francisco,,Petit Crenn,2,"609 Hayes St San Francisco, CA 94102",,5.0,CA,609 Hayes St ,94102
San Francisco,,Parada 22,1471,"1805 Haight St San Francisco, CA 94117",,4.2,CA,1805 Haight St ,94117
San Francisco,,Town's End Brunch,97,(415) 875-9984,,4.3,CA,2 Townsend St ,94107
San Francisco,,Bento Peak,86,(415) 592-8069,"$59.95,$16.95,$17.95,$7.95,$7.95,$11.95,$15.95,$20.95,$15.95,$7.95,$12.95,$9.95,$12.95,$18.95,$7.95,$6.95,$14.95,$5.00,$15.95,$16.95",4.5,CA,4724 Geary Blvd ,94118
San Francisco,https://www.umacasarestaurant.com/dinein-menu,Uma Casa,361,(415) 829-2264,"$10.00,$10.00,$24.00,$12.00,$13.00,$16.00",4.2,CA,1550 Church St ,94131
San Francisco,http://amanosf.com/food/,a Mano,1663,(415) 506-7401,,4.1,CA,450 Hayes St ,94102
San Francisco,,Banh Mi Crunch,170,"646 Irving St San Francisco, CA 94122",,4.8,CA,646 Irving St ,94122
San Francisco,http://www.italianhomemadecompany.com/menu-nb.pdf,The Italian Homemade Company,1950,(415) 712-8874,"$17.00,$13.50,$13.50,$13.50,$21.50,$17.00,$4.00,$10.00,$22.00,$17.00",4.3,CA,716 Columbus Ave ,94133
San Francisco,https://www.kaijueatsramenizakaya.com/uvf8u3m5/kaiju-eats-ramen-and-izakaya-san-francisco-94118/order-online#menu,Kaiju Eats Ramen and Izakaya,948,(628) 219-0991,"$17.00,$18.00,$7.00,$22.00,$13.00,$18.00,$19.00,$8.00,$13.00,$18.00,$10.00,$8.00,$8.00,$8.00,$22.00",4.0,CA,3409 Geary Blvd ,94118
San Francisco,,Yuanbao Jiaozi - San Francisco ,657,(415) 702-6506,"$13.99,$10.99,$11.99,$8.99,$15.99,$13.99,$8.99,$15.99,$11.99,$13.99,$13.99,$13.99,$13.99,$13.99",4.3,CA,2110 Irving St ,94122
San Francisco,http://www.lalesf.com/menu.html,LaLe,650,(415) 566-8814,"$15.00,$14.00,$27.00,$15.00,$16.00,$7.00,$9.00,$16.00,$17.00,$16.00,$28.00,$14.00,$8.00,$15.00",4.2,CA,731 Irving St ,94122
San Francisco,https://www.billingsgatesf.com/menu,Billingsgate,88,(415) 590-3001,,4.5,CA,3859 24th St ,94114
San Francisco,https://ilparcosf.com/#menu,Il Parco,76,(415) 400-4165,,2.4,CA,215 Lincoln Blvd ,94129
San Francisco,,Noosh,661,(415) 231-5985,,3.4,CA,2001 Fillmore St ,94115
San Francisco,,Anh Hong,81,"3123 Clement St San Francisco, CA 94121",,4.6,CA,3123 Clement St ,94121
San Francisco,https://www.nikusteakhouse.com/menu,Niku Steakhouse,721,(415) 829-7817,,4.4,CA,61 Division St ,94103
San Francisco,,Coqueta,2564,(415) 704-8866,"$10.00,$12.00,$12.00,$18.00,$52.00,$8.00,$39.00",4.0,CA,The Embarcadero Pier 5,94111
San Francisco,https://www.souvla.com/menus/,Souvla,1760,(415) 570-6500,"$14.00,$15.00,$5.00,$13.00,$13.00",4.1,CA,517 Hayes St ,94102
San Francisco,,Heroic Italian,111,"572 Castro St Swirl on Castro Wine Bar San Francisco, CA 94114","$20.70,$20.70,$20.70,$16.10,$20.70",4.5,CA,572 Castro St Swirl on Castro Wine Bar,94114
San Francisco,,Rooftop 25,273,(415) 495-5875,,3.8,CA,25 Lusk St ,94107
San Francisco,,Ernest,478,(415) 829-2961,,4.3,CA,1890 Bryant St Ste 100,94110
San Francisco,,Burma Love,1740,(415) 861-2100,,4.1,CA,211 Valencia St ,94103
San Francisco,,Pancake Boy,1251,(415) 647-7037,,4.1,CA,4007 24th St ,94114
San Francisco,,Barista,30,(415) 875-9270,,4.9,CA,3313 Sacramento St ,94118
San Francisco,,Hinodeya Japantown,2034,(415) 216-5011,,4.2,CA,1737 Buchanan St ,94115
San Francisco,,Copper Bar Kitchen & Microbrewery,32,(415) 529-1122,,4.4,CA,4092 18th St ,94114
